Country Name,Sovereign,GEO Region,GEO Subregion,ch4_70,ch4_71,ch4_72,ch4_73,ch4_74,ch4_75,ch4_76,ch4_77,ch4_78,ch4_79,ch4_80,ch4_81,ch4_82,ch4_83,ch4_84,ch4_85,ch4_86,ch4_87,ch4_88,ch4_89,ch4_90,ch4_91,ch4_92,ch4_93,ch4_94,ch4_95,ch4_96,ch4_97,ch4_98,ch4_99,ch4_00,ch4_01,ch4_02,ch4_03,ch4_04,ch4_05,ch4_06,ch4_07,ch4_08
Afghanistan,Afghanistan,Asia + Pacific,South Asia,486,486,437,448,476,499,502,498,494,485,494,491,489,469,431,396,353,356,377,355.478,363.218,366.766,351.692,355.947,365.092,375.516,410.08,438.743,461.913,490.758,446.866,412.691,472.83,492.885,501.02,509.464,517.616,526.176,534.497
Albania,Albania,Europe,Central Europe,84,82,83,85,86,89,93,95,101,104,106,106,107,110,111,109,113,119,124,126.111,121.284,114.166,108.046,111.638,132.57,131.844,124.686,117.07,112.928,112.232,124.229,111.677,111.106,117.771,117.62,117.955,118.347,119.321,119.84
Algeria,Algeria,Africa,Northern Africa,612,685,948,1183,1028,948,1147,1228,1324,1325,1240,1125,1097,1215,1296,1501,1483,1498,1503,1583.45,1538.07,1590.71,1785.11,1780.81,1732.21,1885.86,1934.32,1992.22,2038.84,2177.1,2145.37,2012.51,2011.77,2148.66,2132.85,2225.59,2260.73,2216.54,2258.89
American Samoa,United States of America,Asia + Pacific,South Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445358,0.421006,0.434138,0.445713,0.456243,0.465635,0.4742,0.4819,0.488659,0.493742,0.498681,0.503296,0.509209,0.514986,0.520292,0.526777,0.534096,0.542055,0.555379,0.572967
Andorra,Andorra,Europe,Western Europe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Angola,Angola,Africa,Southern Africa,1113,690,742,793,715,812,716,830,870,1091,935,829,913,914,749,766,756,976,752,823.736,1050.3,912.734,1347.02,835.596,943.331,1020.02,995.377,717.667,766.045,766.285,750.395,737.949,747.372,742.37,752.811,778.983,790.653,788.144,823.458
Anguilla,United Kingdom of Great Britain and Northern Ireland,Latin America + Caribbean,Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182616,0.173026,0.166267,0.160243,0.143466,0.140992,0.140589,0.141341,0.140828,0.139924,0.139076,0.142228,0.143068,0.150124,0.144156,0.144484,0.144699,0.144976,0.145227,0.145493
Antarctica,Antarctic,Polar,Antarctic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Antigua and Barbuda,Antigua and Barbuda,Latin America + Caribbean,Caribbean,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1.68607,1.69099,1.70303,1.71461,1.7367,1.7662,1.78507,1.7681,1.76096,1.75014,1.74708,1.74651,1.78514,1.81281,1.83892,1.87628,1.88762,1.91388,1.93871,1.96861
Argentina,Argentina,Latin America + Caribbean,South America,4044,4035,4214,4323,4372,4471,4631,4747,4618,4601,4559,4436,4376,4481,4515,4506,4506,4536,4672,4775.82,4861.08,4792.78,4864.09,4836.58,4812.79,4866.45,4828.55,4884.63,4774.69,4681.02,4724.48,4691.2,4566.35,4812.67,4833.4,4767.89,4763.11,4656.36,4661.74
Armenia,Armenia,Europe,Eastern Europe,63,66,69,71,73,76,76,75,75,74,73,73,73,74,76,78,78,78,119,127.113,137.605,130.734,124.058,114.331,120.817,115.591,121.978,124.447,121.531,124.726,122.16,120.652,124.011,129.185,134.604,140.963,146.864,147.892,154.043
Aruba,Netherlands,Latin America + Caribbean,Caribbean,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.709434,0.722705,0.737428,0.757047,0.780288,0.803655,0.823638,0.80781,1.02468,0.826087,0.835931,0.859589,0.876988,0.900045,0.919945,0.943,0.961074,0.984566,1.01174,1.03542
Australia,Australia,Asia + Pacific,Australia + New Zealand,4490,4469,5066,4654,4892,5102,5445,5286,4753,5067,5220,4644,5130,4711,4830,5416,5199,4941,4935,5196.03,5483.32,5742.92,5547.74,5373.17,5870.62,5363.68,5405.49,5648.82,5567.33,5799.18,6101.55,6483.22,6300.24,5977.58,6034.84,5817.71,5670.7,6457.72,5821.17
Austria,Austria,Europe,Western Europe,430,426,425,433,440,439,441,447,448,457,463,463,470,472,481,490,488,484,493,483.753,477.584,478.085,470.693,473.15,458.438,455.275,450.192,440.36,435.941,433.644,427.848,423.443,418.676,414.481,408.144,402.691,401.535,399.244,395.473
Azerbaijan,Azerbaijan,Europe,Eastern Europe,305,314,324,334,350,366,377,387,399,410,421,429,441,455,472,489,509,525,534,540.492,545.641,525.986,499.769,471.359,451.114,434.166,423.731,422.648,434.163,461.907,474.03,489.248,504.012,526.66,539.551,576.3,622.719,705.085,806.949
Bahamas,Bahamas,Latin America + Caribbean,Caribbean,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6.48193,6.73619,6.93176,7.071,7.23506,7.42928,7.63104,7.84515,7.94436,8.04144,8.15603,8.32267,8.53169,8.68279,8.87379,9.13165,9.35739,9.57142,9.82014,10.0877
Bahrain,Bahrain,West Asia,Arabian Peninsula,38,38,39,46,51,49,51,58,59,63,63,68,65,65,69,78,77,77,80,83.8101,85.7206,78.1611,85.6475,92.0456,92.3209,92.9363,98.8005,104.019,109.622,111.611,113.455,117.032,122.299,125.125,128.131,132.355,139.294,145.639,152.169
Bangladesh,Bangladesh,Asia + Pacific,South Asia,4348,4117,4193,4220,4179,4324,4200,4235,4344,4394,4146,4195,4219,3981,4102,4146,4197,4118,4097,4173.34,4147.28,4092.74,4098.55,4039.18,4046.96,4068.23,4126.01,4154.01,4086.89,4264.58,4249.86,4316.46,4382.82,4428.31,4370.39,4485.61,4524.75,4595.21,4658.67
Barbados,Barbados,Latin America + Caribbean,Caribbean,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5.87937,6.12472,6.04514,5.99427,5.87485,5.88477,5.897,5.90589,5.30504,5.42649,5.57641,5.7653,5.08186,5.04198,4.99515,4.73825,4.91662,4.81152,4.90857,4.93322
Belarus,Belarus,Europe,Eastern Europe,577,606,627,645,667,690,698,706,723,733,741,748,763,780,798,816,828,848,844,861.599,888.062,859.247,827.52,788.718,751.306,706.529,679.437,665.007,666.984,658.076,634.393,637.14,640.113,629.583,640.884,668.85,687.731,708.136,730.668
Belgium,Belgium,Europe,Western Europe,673,654,649,665,677,666,661,666,655,658,658,655,654,648,658,666,649,633,592,591.205,592.621,595.81,585.608,573.968,571.76,578.94,557.897,541.331,529.197,539.175,527.572,509.995,488.101,472.21,471.716,458.271,456.388,454.633,454.185
Belize,Belize,Latin America + Caribbean,Meso America,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7.54933,8.08832,8.65756,8.70333,8.56927,8.63733,7.64259,7.97193,7.76045,7.54296,8.01644,7.95231,7.90173,8.27769,8.75303,8.47918,8.92891,9.04206,9.13498,9.19537
Benin,Benin,Africa,Western Africa,165,161,161,177,138,152,159,186,159,174,216,182,210,198,197,182,180,189,178,194.385,243.786,196.72,227.6,213.808,219.271,235.601,234.774,239.982,202.185,221.822,214.465,211.106,237.812,196.414,208.092,208.443,215.529,266.576,337.456
Bermuda,United Kingdom of Great Britain and Northern Ireland,Latin America + Caribbean,Caribbean,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.16189,1.14672,1.15575,1.15402,1.1649,1.18278,1.19549,1.20793,1.20873,1.2206,1.24011,1.26272,1.27802,1.29676,1.31344,1.33306,1.34863,1.36744,1.37911,1.40092
Bhutan,Bhutan,Asia + Pacific,South Asia,33,34,34,35,35,36,36,37,38,39,39,40,40,41,42,44,44,45,43,42.9736,43.7591,43.3714,56.9445,56.8081,56.6692,54.9862,54.953,50.3037,50.9937,59.4235,49.162,45.1493,48.1184,43.4531,48.3961,49.1955,59.8184,53.2786,57.3005
Bolivia (Plurinational State of),Bolivia,Latin America + Caribbean,South America,786,540,717,603,673,779,919,713,898,952,1011,907,948,1009,797,871,890,1075,927,944.24,1068.38,1019.2,1098.2,1203.29,925.64,978.63,1023.6,1055.09,914.049,1783.66,941.226,931.752,1111.25,940.898,2660.13,1421.09,913.382,949.696,1000.77
Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,Central Europe,151,152,153,155,165,160,158,158,162,165,174,184,201,215,218,221,216,217,205,209.515,218.546,202.42,176.893,162.413,83.2511,79.2356,68.8253,89.9493,104.445,107.318,127.222,105.556,108.857,125.508,122.864,126.936,133.417,140.216,144.64
Botswana,Botswana,Africa,Southern Africa,249,154,177,191,183,219,216,246,244,291,254,235,254,244,199,193,186,236,193,219.622,289.239,232.216,318.737,191.641,230.318,258.548,217.56,212.286,189.245,196.457,187.677,245.801,279.96,207.981,210.935,221.803,183.345,187.451,184.542
Brazil,Brazil,Latin America + Caribbean,South America,9892,8630,9634,9197,9849,10602,11841,10975,11653,12100,13118,12772,13144,13344,12775,13187,13773,14934,14435,14745.5,15222.8,15446.8,16197.3,16981.7,15939.6,16906.5,16693.9,16898.8,17946.8,17220.7,16334.6,17506,18489,19957.6,21883.4,23444.6,19395.9,19651.3,20069.5
British Virgin Islands,United Kingdom of Great Britain and Northern Ireland,Latin America + Caribbean,Caribbean,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.713764,0.721498,0.733565,0.745389,0.754788,0.766078,0.777148,0.787916,0.79538,0.804504,0.813937,0.822736,0.829773,0.837306,0.844713,0.851749,0.858481,0.865703,0.876214,0.886872
Brunei Darussalam,Brunei Darussalam,Asia + Pacific,South East Asia,77,61,83,124,123,137,167,189,195,184,213,172,176,210,165,155,156,174,159,148.906,171.964,175.968,198.742,183.579,182.346,199.578,185.647,186.381,341.117,188.775,184.844,192.715,191.227,203.159,196.943,217.654,214.271,206.335,221.53
Bulgaria,Bulgaria,Europe,Central Europe,473,489,509,525,530,557,577,590,606,624,645,664,685,699,714,716,726,737,738,750.589,746.451,718.869,707.027,668.522,648.217,645.931,654.088,645.375,651.675,648.893,656.349,640.12,620.835,625.926,625.445,608.491,602.492,593.421,584.77
Burkina Faso,Burkina Faso,Africa,Western Africa,220,219,210,206,197,204,210,221,220,231,249,247,259,261,268,288,294,304,308,319.557,344.675,340.052,360.846,368.111,381.395,401.527,413.342,428.857,438.591,410.853,430.464,478.272,477.685,497.78,526.652,559.345,582.321,637.914,645.905
Burundi,Burundi,Africa,Eastern Africa,70,69,72,74,75,76,76,77,78,80,74,68,70,70,72,71,76,76,78,79.2445,81.735,83.2794,85.4115,87.8108,88.366,87.9857,90.3357,91.5061,93.7265,71.2766,71.6589,99.5158,101.453,101.607,106.259,108.556,112.052,114.934,118.229
Cabo Verde,Cabo Verde,Africa,Western Africa,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,3.82118,3.96335,4.13227,4.61141,4.72931,4.54576,4.91259,4.59645,4.83376,5.1447,5.2709,5.27283,5.429,5.56365,5.77277,5.9609,6.11004,6.27727,6.43869,6.60678
Cambodia,Cambodia,Asia + Pacific,South East Asia,956,771,646,510,384,446,437,454,460,377,560,521,610,692,474,577,613,614,691,676.681,719.796,675.142,728.359,729.49,644.854,760.485,713.454,731.867,972.783,760.444,713.565,761.008,843.116,879.718,929.482,975.074,1152.23,1969.75,1555.16
Cameroon,Cameroon,Africa,Central Africa,395,390,380,409,326,359,380,450,395,432,545,470,524,614,620,588,674,667,522,640.452,760.96,650.937,719.795,697.225,637.561,688.877,687.501,698.134,617.169,627.399,754.424,776.398,644.7,640.191,659.646,652.357,754.87,1134.98,948.917
Canada,Canada,North America,North America,3205,3245,3145,3207,3166,3084,3227,3103,2978,3481,3760,3738,3286,3292,3387,3508,3489,3531,3736,4397.59,3674.45,3879.71,3971.46,4256.66,4974.64,5220.11,4662.36,4673.44,5473.72,4989.61,4865.23,4907.29,5086.62,5292.25,5452.38,5167.59,5140.67,5141.65,5135.71
Cayman Islands,United Kingdom of Great Britain and Northern Ireland,Latin America + Caribbean,Caribbean,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.786486,0.837639,0.844245,0.867839,0.888475,0.920029,0.946114,0.968719,0.983228,1.00622,1.03422,1.05842,1.08087,1.10448,1.12528,1.14764,1.16958,1.19556,1.23211,1.27285
Central African Republic,Central African Republic,Africa,Central Africa,1376,1308,1276,1451,931,1072,1144,1498,1119,1309,1838,1351,1706,1506,1469,1228,1267,1373,1202,1415.63,2012.04,1359.02,1746.23,1539.18,1508.83,1793.24,1727.85,1768.73,1078.11,1155.69,1269.68,1737.26,1131.37,1241.52,1146.67,1225.71,4370.27,7025.38,4636.93
Chad,Chad,Africa,Central Africa,383,382,394,390,299,319,332,380,355,381,438,395,434,412,369,345,359,382,376,408.261,477.983,419.36,462.217,445.857,447.773,483.863,482.36,516.547,509.25,546.432,563.405,556.048,564.833,614.505,651.652,615.027,824.08,783.391,863.293
Chile,Chile,Latin America + Caribbean,South America,520,541,584,584,582,604,624,590,596,605,603,574,564,555,555,524,527,541,558,568.277,570.882,578.56,595.49,635.877,665.165,690.574,719.4,751.832,757.52,799.136,806.135,832.131,839.131,837.744,845.015,866.506,875.687,855.829,856.903
China,China,Asia + Pacific,North East Asia,37461,39025,39600,39659,39843,40984,41341,41812,42089,41957,41714,41335,41785,42745,43616,43610,44425,45148,46152,47587.4,48801.2,48647,48501.8,48165.9,49008.9,51655.7,52535,51269.5,50963.8,50772.9,50185.9,50587.7,52218,55118.8,60116,63763.6,66857.5,69319.3,73757.2
China Hong Kong Special Administrative Region,China,Asia + Pacific,North East Asia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
China Macao Special Administrative Region,China,Asia + Pacific,North East Asia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Christmas Island,Australia,Asia + Pacific,South East Asia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cocos (Keeling) Islands,Australia,Asia + Pacific,South Pacific,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Colombia,Colombia,Latin America + Caribbean,South America,1758,1741,1818,1814,1895,1977,2054,2038,2138,2149,2153,2165,2214,2187,2087,2109,2160,2266,2258,2324.7,2392.97,2355.3,2415.63,2480.82,2428.36,2504.22,2568.91,2585.04,2586.15,2480.16,2624.69,2597.04,2638.96,2678.26,2738.07,2749.78,2842.44,2933.32,3002.57
Comoros,Comoros,Africa,Western Indian Ocean,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8.56154,8.6223,8.79634,9.02222,9.20721,9.44664,9.68622,9.92297,10.1048,10.4055,10.7445,10.6617,11.0156,11.3011,11.2103,11.4335,11.6684,11.9932,12.153,12.4048
Congo,Congo,Africa,Central Africa,318,199,213,250,241,256,236,245,252,314,271,247,274,275,229,235,234,300,240,267.569,342.581,294.486,417.773,270.765,300.341,318.513,305.629,309.759,323.485,295.546,383.314,435.194,287.134,312.84,349.384,366.239,313.233,415.556,317.263
Cook Islands,New Zealand,Asia + Pacific,South Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149277,0.149297,0.147588,0.149147,0.176761,0.192205,0.197761,0.207808,0.206888,0.206854,0.209586,0.211605,0.206508,0.20337,0.16267,0.16885,0.169163,0.171822,0.172598,0.175022
Costa Rica,Costa Rica,Latin America + Caribbean,Meso America,124,127,132,145,148,152,153,157,163,170,171,180,181,184,190,184,183,182,179,174.473,179.454,178.91,177.409,172.02,159.193,145.324,145.224,142.009,145.154,140.526,138.9,135.653,131.781,129.978,127.736,115.946,111.655,107.363,103.226
Côte d'Ivoire,Côte d'Ivoire,Africa,Western Africa,372,360,357,393,299,332,350,421,354,392,491,402,474,441,441,400,414,439,413,459.146,578.392,463.02,543.421,504.683,512.668,575.226,569.963,587.339,571.684,505.52,677.948,645.294,636.747,492.173,509.849,594.02,627.517,648.448,689.927
Croatia,Croatia,Europe,Central Europe,142,144,146,151,159,166,168,170,171,170,168,169,170,169,171,176,175,179,190,195.287,198.378,197.624,192.811,195.786,185.474,185.953,182.822,183.562,180.934,181.026,188.261,194.096,199.157,209.278,214.048,215.07,225.788,231.993,231.511
Cuba,Cuba,Latin America + Caribbean,Caribbean,648,580,563,589,584,577,574,570,576,583,565,555,579,564,578,570,573,569,571,585.848,574.386,570.173,556.005,501.246,522.612,496.119,532.556,521.944,504.646,500.372,502.905,485.952,500.801,483.886,472.234,441.627,422.876,409.763,400.541
Cyprus,Cyprus,Europe,Central Europe,16,16,17,17,16,12,13,13,14,14,15,15,16,17,18,18,19,19,20,20.2322,20.992,21.7595,22.1994,23.0643,24.5887,24.9278,25.6949,26.3681,26.7582,26.8528,27.057,27.842,29.1096,29.8558,29.7195,29.4057,29.2869,29.2889,29.1907
Czech Republic,Czech Republic,Europe,Central Europe,855,863,866,864,871,892,902,939,930,966,940,945,947,959,961,958,951,948,942,916.831,868.913,811.392,716.228,640.871,586.452,554.459,610.603,601.794,569.784,551.924,616.995,616.77,597.875,592.557,588.202,573.993,571.71,574.077,565.202
Democratic People's Republic of Korea,Democratic People's Republic of Korea,Asia + Pacific,North East Asia,715,692,710,756,739,755,782,840,941,960,1001,1022,1035,1121,1084,1102,1103,1117,1078,1026.47,1029.79,977.366,976.044,915.936,872.181,846.432,822.896,818.02,753.026,800.621,824.938,847.894,832.377,848.154,872.935,919.078,925.812,857.299,890.68
Democratic Republic of the Congo,Democratic Republic of the Congo,Africa,Central Africa,5694,2344,2670,2994,2360,3168,2618,3264,3510,5195,3924,3133,3782,3711,2362,2461,2309,3999,2174,2748.08,4682.83,3498.43,6800.84,2829.6,3727.88,3886.09,3012.44,2776.89,3171.81,2423.2,3033.1,2779.7,3137.22,2518.93,3032.1,2746.89,4541.44,9032.26,3306.94
Denmark,Denmark,Europe,Western Europe,366,360,370,378,382,381,385,388,397,400,402,399,395,396,388,386,383,380,373,375.189,380.06,387.272,389.694,396.627,390.468,390.529,390.686,393.668,392.181,384.216,387.1,393.216,386.085,383.549,379.191,378.896,373.611,372.22,374.474
Djibouti,Djibouti,Africa,Eastern Africa,7,7,8,8,8,9,9,10,11,11,12,12,12,13,14,15,16,17,18,18.9441,19.8856,20.3057,20.6046,21.175,21.955,23.3041,24.3128,24.7839,25.3817,26.3533,26.6975,27.0809,27.2804,27.5351,27.8975,28.1237,28.3951,28.6958,28.9977
Dominica,Dominica,Latin America + Caribbean,Caribbean,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1.74753,1.73099,1.73157,1.7422,1.75225,1.76323,1.77592,1.78487,1.79147,1.80005,1.81315,1.81611,1.8256,1.83059,1.83212,1.83666,1.84207,1.85215,1.86332,1.8716
Dominican Republic,Dominican Republic,Latin America + Caribbean,Caribbean,180,191,193,198,220,235,252,253,244,255,257,249,262,275,277,274,273,276,277,288.266,285.858,298.615,333.508,324.538,319.925,321.97,331.944,330.865,331.252,296.312,296.989,313.628,319.995,316.205,320.094,318.687,321.084,320.233,320.497
Ecuador,Ecuador,Latin America + Caribbean,South America,315,288,302,313,323,335,344,340,336,359,372,380,388,384,424,443,478,471,512,520.968,523.202,542.171,570.704,601.211,656.638,678.939,692.171,661.118,649.68,648.351,611.917,632.947,617.227,677.466,730.235,720.68,720.697,711.066,703.807
Egypt,Egypt,Africa,Northern Africa,989,982,972,945,990,1000,1028,1009,1019,1008,991,1006,1038,1052,1087,1104,1132,1171,1181,1239.45,1285.4,1340.67,1389.05,1445.06,1463.42,1500.39,1516.73,1555.33,1520.67,1649.95,1712.21,1748.05,1883.73,1997.81,2071.95,2283.77,2368.35,2392.01,2476.34
El Salvador,El Salvador,Latin America + Caribbean,Meso America,107,102,105,100,104,107,112,122,127,131,121,115,108,107,109,113,114,117,120,122.863,127.283,131.724,135.003,132.029,135.705,128.332,139.938,135.745,129.95,137.538,133.213,142.95,153.764,146.915,148.794,150.096,152.135,147.324,148.893
Equatorial Guinea,Equatorial Guinea,Africa,Central Africa,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5.39168,5.604,12.9528,20.5313,28.0747,35.4225,37.5407,40.991,57.9101,69.8617,75.3367,80.261,103.907,89.7984,94.8583,117.139,120.497,123.849,130.378,131.086
Eritrea,Eritrea,Africa,Eastern Africa,86,86,85,86,85,84,84,85,86,86,88,88,89,91,89,91,94,92,93,96.7524,98.5979,99.2428,103.262,91.7227,93.4236,95.8112,106.547,118.9,120.838,126.417,127.726,121.629,114.878,117.378,122.777,124.456,127.506,132.188,132.119
Estonia,Estonia,Europe,Central Europe,105,109,113,115,119,121,122,123,125,126,126,125,127,129,130,132,134,136,146,155.402,162.264,155.502,136.955,113.647,105.219,100.469,106.306,107.314,103.464,99.2339,101.723,102.686,99.2913,104.147,107.465,105.347,105.803,107.323,107.235
Ethiopia,Ethiopia,Africa,Eastern Africa,1557,1556,1535,1574,1490,1472,1480,1553,1513,1555,1641,1578,1644,1654,1616,1643,1724,1673,1663,1769.47,1903.87,1856.6,1998.68,1914.62,1926.29,1993.05,2051,2121.18,2237.16,2297.89,2199.61,2230.01,2496.08,2425.63,2428.52,2521.89,2782.36,2800.08,2869.63
Falkland Islands (Malvinas),United Kingdom of Great Britain and Northern Ireland,Latin America + Caribbean,South America,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.27764,4.21963,4.13505,4.04182,4.08042,4.10225,4.03979,3.86731,4.00887,3.98389,3.9374,3.98597,3.87726,3.88136,3.88484,3.88534,3.88547,3.88672,3.88791,3.88907
Faroe Islands,Denmark,Europe,Western Europe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1.55506,1.57757,1.59643,1.61432,1.63029,1.6412,1.65078,1.65978,1.6684,1.67647,1.68469,1.693,1.70078,1.70872,1.71676,1.72506,1.73402,1.74495,1.75822,1.77329
Fiji,Fiji,Asia + Pacific,South Pacific,20,19,20,20,21,22,22,23,22,24,24,25,26,25,27,27,29,29,30,30.0669,30.2476,30.8028,30.9884,32.7649,33.858,34.9759,34.9423,34.7174,34.1586,33.6135,33.5625,34.1544,33.1885,32.802,32.9812,33.1604,33.3327,33.5093,33.6696
Finland,Finland,Europe,Western Europe,475,471,475,478,476,448,452,452,459,469,478,482,472,472,436,444,445,447,451,460.661,479.455,466.698,461.878,468.623,482.664,485.859,476.132,483.479,493.989,490.498,492.511,488.732,472.031,477.566,480.1,464.757,466.806,460.425,453.15
France,France,Europe,Western Europe,3947,3887,3859,3848,3861,3945,4061,4213,4241,4287,4203,4082,3941,3952,3958,3896,3842,3743,3605,3596.15,3607.12,3654.47,3599.15,3544.06,3512.13,3534.52,4242.57,4154.48,4106.78,4106.67,4078.42,4062.77,3996.89,3968.65,3950.65,3948.17,3963.41,3956.09,3947.27
French Guiana,France,Latin America + Caribbean,South America,2,1,2,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,3.75528,4.10175,4.32116,4.38827,4.36248,3.96521,4.165,4.44516,4.58507,5.36167,4.44196,4.80168,4.58547,4.50866,4.14964,4.82842,4.84829,5.19779,5.38543,5.66467
Gabon,Gabon,Africa,Central Africa,42,43,46,102,109,126,131,130,131,142,133,130,130,120,140,157,122,116,114,150.291,165.643,159.533,175.593,168.553,173.145,189.697,202.175,192.764,223.027,200.097,194.382,215.549,197.881,216.322,211.971,204.665,167.864,150.409,249.891
Gambia,Gambia,Africa,Western Africa,24,24,23,23,23,23,24,25,24,24,26,26,27,25,24,24,26,27,27,27.5818,29.2534,28.3903,29.5617,28.9903,29.9984,31.3927,31.5693,31.5207,31.2577,32.1314,34.3721,37.3509,37.6045,31.4014,34.9756,35.9241,36.4582,49.6964,42.5331
Georgia,Georgia,Europe,Eastern Europe,166,173,179,183,188,192,193,193,192,191,190,189,185,183,187,188,190,193,242,242.553,239.773,230.983,230.557,220.836,189.841,196.012,207.748,194.311,194.539,192.688,197.02,199.327,200.481,203.33,206.186,210.148,215.603,221.588,224.201
